[2024-10-14 02:12:48,153: INFO: main: Welcome to our custom log]
[2024-10-15 00:49:21,696: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-15 00:49:21,707: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-15 00:49:22,015: INFO: common: created directory at: artifacts]
[2024-10-15 00:49:22,018: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-15 00:49:22,020: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1kpNwooNISCBO40HmYuUXKW6ckfbZA-NT/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-15 00:50:28,006: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1kpNwooNISCBO40HmYuUXKW6ckfbZA-NT/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-15 01:05:26,830: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-10-15 01:05:26,832: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-15 01:05:26,833: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-15 01:05:26,833: INFO: common: created directory at: artifacts]
[2024-10-15 01:05:26,833: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-15 01:05:26,835: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1kpNwooNISCBO40HmYuUXKW6ckfbZA-NT/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-15 01:06:30,967: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1kpNwooNISCBO40HmYuUXKW6ckfbZA-NT/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-15 01:06:31,576: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
